Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count,recall_numerator,rar_count,precision_numerator,par_count
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.575195503235,-0.44,0,3426,2,0,4032,0.0,0,0.0,6
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.575195503235,0.337302738031,5,3021,2,400,4032,1.6037037037,3,4.0,7
numenta,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.575195503235,1.50048222172,3,13500,1,1579,15833,1.6007585335,2,2.0,9
numenta,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.575195503235,-1.92958961576,5,13535,18,1585,15893,1.60088050314,2,3.0,25
numenta,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.575195503235,0.709733737974,11,13558,6,1577,15902,2.40319059614,4,6.0,16
numenta,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.575195503235,0.861272490375,1,1784,0,238,2380,0.800836820084,1,1.0,3
numenta,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.575195503235,0.734788146524,6,3024,1,397,4032,0.800496277916,1,6.0,11
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.575195503235,0.875727409493,3,3025,0,400,4032,0.800744416873,1,2.0,14
numenta,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.575195503235,-1.24571800379,19,15791,10,1480,18050,0.80014083463,1,18.0,30
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.575195503235,-1.66,0,1215,3,163,1624,0.0,1,0.0,7
numenta,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.575195503235,1.5160251845,5,1874,1,245,2500,1.608,2,2.0,7
numenta,reward_low_FP_rate,realTraffic/speed_6005.csv,0.575195503235,0.402622001756,3,1884,2,236,2500,0.801255230126,1,2.0,8
numenta,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.575195503235,0.0,0,3428,0,0,4032,0.0,0,0.0,0
numenta,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.575195503235,-1.0,0,1621,0,217,2162,0.0,1,0.0,5
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.575195503235,1.12152494984,3,3024,2,399,4032,1.60199004975,2,3.0,12
numenta,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.575195503235,-0.700195914837,5,13653,7,1427,15842,1.60081725796,3,5.0,20
numenta,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.575195503235,1.98462491465,7,1871,0,243,2495,1.6048,2,5.0,14
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.575195503235,0.723575559502,5,13559,0,1588,15902,1.60188323917,3,2.0,8
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.575195503235,-1.13759635579,1,3023,0,404,4032,0.801481481481,3,1.0,8
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.575195503235,0.736537840284,8,3084,1,335,4032,0.800777453839,1,6.0,13
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.575195503235,0.86067182427,4,3025,0,399,4032,0.800661703888,1,3.0,4
numenta,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.575195503235,1.47519460411,8,3457,6,457,4621,2.40548387097,3,6.0,17
numenta,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.575195503235,-0.758599859273,3,5788,3,723,7267,0.800826446281,2,2.0,21
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.575195503235,1.87550622489,9,13573,4,1517,15853,2.40155400476,3,6.0,12
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.575195503235,0.638908670438,2,3024,1,401,4032,0.800496277916,1,2.0,7
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.575195503235,1.28824354227,3,1217,2,159,1624,1.6049382716,2,3.0,9
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.575195503235,-0.66,0,3425,3,0,4032,0.0,0,0.0,6
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.575195503235,0.264053791862,2,3545,3,471,4730,0.800422832981,1,2.0,7
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.575195503235,1.72310160415,6,3026,0,396,4032,1.60331674959,2,4.0,9
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.575195503235,0.865242818448,2,3024,1,401,4032,0.800496277916,1,2.0,5
numenta,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.575195503235,0.371813980326,2,1875,1,247,2500,1.60481927711,3,2.0,9
numenta,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.575195503235,2.91177643559,7,13517,3,1581,15858,3.20201511335,4,7.0,11
