Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count,recall_numerator,rar_count,precision_numerator,par_count
numenta,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.542187690735,-0.22,0,3426,2,0,4032,0.0,0,0.0,6
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.542187690735,0.556842909788,5,3021,2,400,4032,1.6037037037,3,4.0,7
numenta,standard,realTweets/Twitter_volume_FB.csv,0.542187690735,1.61048222172,3,13500,1,1579,15833,1.6007585335,2,2.0,9
numenta,standard,realTweets/Twitter_volume_IBM.csv,0.542187690735,-0.104111443719,5,13535,18,1585,15893,1.60088050314,2,3.0,25
numenta,standard,realTweets/Twitter_volume_AAPL.csv,0.542187690735,1.26389791486,11,13558,6,1577,15902,2.40319059614,4,6.0,16
numenta,standard,realTraffic/occupancy_6005.csv,0.542187690735,0.861272490375,1,1784,0,238,2380,0.800836820084,1,1.0,3
numenta,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.542187690735,0.734788146524,6,3023,2,397,4032,0.800496277916,1,6.0,12
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.542187690735,0.875727409493,3,3025,0,400,4032,0.800744416873,1,2.0,14
numenta,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.542187690735,-0.255718003788,20,15790,11,1479,18050,0.800140444507,1,19.0,32
numenta,standard,realAdExchange/exchange-2_cpc_results.csv,0.542187690735,0.53195803375,1,1215,3,162,1624,0.801226993865,1,1.0,8
numenta,standard,realTraffic/occupancy_t4013.csv,0.542187690735,1.6260251845,5,1874,1,245,2500,1.608,2,2.0,7
numenta,standard,realTraffic/speed_6005.csv,0.542187690735,0.512622001756,3,1883,3,236,2500,0.801255230126,1,2.0,9
numenta,standard,artificialNoAnomaly/art_noisy.csv,0.542187690735,0.0,0,3428,0,0,4032,0.0,0,0.0,0
numenta,standard,realTraffic/TravelTime_451.csv,0.542187690735,0.55193672851,1,1621,0,216,2162,0.800921658986,1,1.0,6
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.542187690735,1.34152494984,3,3024,2,399,4032,1.60199004975,2,3.0,12
numenta,standard,realTweets/Twitter_volume_GOOG.csv,0.542187690735,-0.260196174698,7,13650,10,1425,15842,1.60081725796,3,7.0,25
numenta,standard,realTraffic/speed_t4013.csv,0.542187690735,1.98462491465,7,1871,0,243,2495,1.6048,2,5.0,14
numenta,standard,realTweets/Twitter_volume_CRM.csv,0.542187690735,0.723575559502,5,13559,0,1588,15902,1.60188323917,3,2.0,8
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.542187690735,0.744269702075,2,3023,0,403,4032,1.60296296296,3,2.0,9
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.542187690735,0.846537840284,8,3084,1,335,4032,0.800777453839,1,6.0,13
numenta,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.542187690735,0.86067182427,4,3025,0,399,4032,0.800661703888,1,3.0,4
numenta,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.542187690735,2.09185151682,8,3457,6,457,4621,2.40548387097,3,6.0,17
numenta,standard,realKnownCause/ambient_temperature_system_failure.csv,0.542187690735,-0.758599859273,3,5785,6,723,7267,0.800826446281,2,2.0,24
numenta,standard,realTweets/Twitter_volume_CVS.csv,0.542187690735,2.30950047794,9,13573,4,1517,15853,2.40155400476,3,6.0,12
numenta,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.542187690735,0.748908670438,2,3024,1,401,4032,0.800496277916,1,2.0,7
numenta,standard,realAdExchange/exchange-2_cpm_results.csv,0.542187690735,1.50824342415,3,1217,2,159,1624,1.6049382716,2,3.0,9
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.542187690735,-0.33,0,3425,3,0,4032,0.0,0,0.0,6
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.542187690735,0.59454409372,3,3545,3,470,4730,0.800422832981,1,3.0,8
